"","Location","Price","Experience","Other","will_attend","ages_bin","distance_bin"
"1711","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"5307","4","3","1","4",0,"03 > 44.7122","01 <= 32.4247"
"6380","5","3","3","1",0,"01 <= 34.9769","02 > 32.4247"
"1322","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"6367","5","3","3","1",0,"03 > 44.7122","01 <= 32.4247"
"5529","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"4191","4","3","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"55","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"6108","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"6540","5","1","1","2",0,"03 > 44.7122","02 > 32.4247"
"4342","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"3390","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"1510","2","4","2","2",0,"03 > 44.7122","01 <= 32.4247"
"6052","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"5906","5","1","1","2",0,"03 > 44.7122","01 <= 32.4247"
"2217","2","2","3","3",1,"02 <= 44.7122","02 > 32.4247"
"6782","5","3","3","1",0,"03 > 44.7122","01 <= 32.4247"
"2284","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"825","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"3665","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"3381","3","4","1","2",0,"03 > 44.7122","01 <= 32.4247"
"1205","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"3564","3","1","3","4",0,"03 > 44.7122","02 > 32.4247"
"6431","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"2752","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1335","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"4408","4","3","1","4",0,"03 > 44.7122","01 <= 32.4247"
"3576","3","1","3","4",0,"03 > 44.7122","02 > 32.4247"
"1853","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"4952","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"4316","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"168","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"4186","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"1482","2","2","3","3",0,"03 > 44.7122","02 > 32.4247"
"4507","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"3237","3","3","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"3841","3","3","1","3",0,"02 <= 44.7122","02 > 32.4247"
"6433","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"4438","4","3","1","4",0,"02 <= 44.7122","02 > 32.4247"
"4307","4","3","1","4",0,"01 <= 34.9769","01 <= 32.4247"
"4217","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"5427","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"1384","1","2","1","4",1,"01 <= 34.9769","01 <= 32.4247"
"4798","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"3486","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"3427","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"3100","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"5928","5","4","2","4",0,"03 > 44.7122","02 > 32.4247"
"545","1","4","3","3",1,"02 <= 44.7122","01 <= 32.4247"
"2252","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"3065","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"4752","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"3609","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"320","1","3","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"5115","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"3867","3","1","3","4",0,"02 <= 44.7122","01 <= 32.4247"
"1076","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"1546","2","2","3","3",1,"02 <= 44.7122","01 <= 32.4247"
"2089","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"1579","2","4","2","2",0,"03 > 44.7122","02 > 32.4247"
"3526","3","2","2","1",0,"03 > 44.7122","01 <= 32.4247"
"750","1","4","3","3",1,"03 > 44.7122","01 <= 32.4247"
"6738","5","4","2","4",0,"03 > 44.7122","01 <= 32.4247"
"4491","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"3570","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"4389","4","1","2","3",0,"01 <= 34.9769","02 > 32.4247"
"4461","4","1","2","3",0,"03 > 44.7122","01 <= 32.4247"
"3715","3","4","1","2",0,"02 <= 44.7122","02 > 32.4247"
"4541","4","3","1","4",0,"01 <= 34.9769","02 > 32.4247"
"2164","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"272","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"2237","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"4512","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"49","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"3746","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"5000","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"1190","1","4","3","3",0,"03 > 44.7122","01 <= 32.4247"
"4878","4","3","1","4",0,"02 <= 44.7122","02 > 32.4247"
"3107","3","2","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"1658","2","4","2","2",0,"03 > 44.7122","01 <= 32.4247"
"1906","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"1678","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4289","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"416","1","4","3","3",1,"01 <= 34.9769","01 <= 32.4247"
"1317","1","2","1","4",1,"02 <= 44.7122","01 <= 32.4247"
"2013","2","2","3","3",1,"01 <= 34.9769","01 <= 32.4247"
"3894","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"3265","3","4","1","2",0,"03 > 44.7122","01 <= 32.4247"
"2747","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"6439","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"3634","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"6403","5","4","2","4",0,"03 > 44.7122","01 <= 32.4247"
"4182","4","4","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"4220","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"5628","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"3316","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"4267","4","4","1","1",0,"03 > 44.7122","01 <= 32.4247"
"4064","4","2","3","2",0,"03 > 44.7122","01 <= 32.4247"
"1308","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"5887","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"1031","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"5538","5","2","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"5110","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"3116","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"6730","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"6091","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"3825","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"2588","3","2","2","1",0,"03 > 44.7122","01 <= 32.4247"
"1249","1","4","3","3",0,"03 > 44.7122","01 <= 32.4247"
"965","1","1","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"1704","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4324","4","2","3","2",0,"03 > 44.7122","01 <= 32.4247"
"6784","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"1483","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"2015","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"2836","3","2","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"4192","4","4","1","1",0,"03 > 44.7122","01 <= 32.4247"
"6134","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"1343","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"1844","2","4","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"2414","2","2","3","3",0,"02 <= 44.7122","02 > 32.4247"
"3549","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"4119","4","3","1","4",0,"02 <= 44.7122","02 > 32.4247"
"5485","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"3756","3","4","1","2",0,"03 > 44.7122","02 > 32.4247"
"1773","2","4","2","2",0,"03 > 44.7122","02 > 32.4247"
"6077","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"4747","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"3777","3","4","1","2",0,"03 > 44.7122","02 > 32.4247"
"6112","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"134","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"5940","5","1","1","2",0,"03 > 44.7122","01 <= 32.4247"
"6555","5","2","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"1529","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"4932","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"4517","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"4163","4","4","1","1",0,"03 > 44.7122","02 > 32.4247"
"6519","5","2","1","3",0,"02 <= 44.7122","02 > 32.4247"
"692","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"2390","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"6592","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"2226","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"5704","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"6594","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"6771","5","4","2","4",0,"02 <= 44.7122","02 > 32.4247"
"5036","4","4","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"6574","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"4218","4","2","3","2",0,"03 > 44.7122","02 > 32.4247"
"76","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"2595","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"5980","5","1","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"4132","4","3","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"1446","2","1","1","1",0,"02 <= 44.7122","02 > 32.4247"
"4855","4","2","3","2",0,"03 > 44.7122","01 <= 32.4247"
"3110","3","3","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"5647","5","3","3","1",0,"03 > 44.7122","02 > 32.4247"
"3082","3","3","1","3",0,"03 > 44.7122","02 > 32.4247"
"2986","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"4147","4","4","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"3323","3","2","2","1",0,"02 <= 44.7122","02 > 32.4247"
"1517","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"2065","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"1969","2","2","3","3",1,"03 > 44.7122","01 <= 32.4247"
"2828","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"5043","4","1","2","3",0,"01 <= 34.9769","01 <= 32.4247"
"3829","3","3","1","3",0,"02 <= 44.7122","02 > 32.4247"
"5349","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"1455","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"1043","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"2101","2","1","1","1",0,"01 <= 34.9769","02 > 32.4247"
"3717","3","1","3","4",1,"03 > 44.7122","01 <= 32.4247"
"5021","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"2556","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"1686","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"3527","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"333","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"763","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"536","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"6503","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"5952","5","1","1","2",0,"03 > 44.7122","01 <= 32.4247"
"601","1","3","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"5030","4","3","1","4",0,"01 <= 34.9769","02 > 32.4247"
"1528","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"208","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"629","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"1945","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"4850","4","3","1","4",0,"02 <= 44.7122","02 > 32.4247"
"464","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1745","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"3820","3","2","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"2377","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"169","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1243","1","3","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"5319","4","3","1","4",0,"03 > 44.7122","01 <= 32.4247"
"1220","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"6035","5","4","2","4",0,"01 <= 34.9769","01 <= 32.4247"
"6308","5","4","2","4",0,"03 > 44.7122","02 > 32.4247"
"5346","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"3354","3","2","2","1",0,"03 > 44.7122","01 <= 32.4247"
"2243","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"5944","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"5271","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"1181","1","2","1","4",0,"01 <= 34.9769","01 <= 32.4247"
"4853","4","3","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"4088","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"6727","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"417","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"3654","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"3140","3","1","3","4",0,"02 <= 44.7122","02 > 32.4247"
"4713","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"5753","5","1","1","2",0,"01 <= 34.9769","02 > 32.4247"
"5999","5","1","1","2",0,"03 > 44.7122","02 > 32.4247"
"6524","5","4","2","4",0,"02 <= 44.7122","01 <= 32.4247"
"3496","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"3512","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"1275","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4115","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"5465","5","1","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"2761","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"5391","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"4166","4","1","2","3",0,"03 > 44.7122","01 <= 32.4247"
"560","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"3510","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"146","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1458","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"2369","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"3926","3","4","1","2",0,"03 > 44.7122","02 > 32.4247"
"1288","1","4","3","3",0,"01 <= 34.9769","01 <= 32.4247"
"6181","5","3","3","1",0,"03 > 44.7122","01 <= 32.4247"
"2957","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"6365","5","4","2","4",0,"03 > 44.7122","02 > 32.4247"
"3449","3","1","3","4",0,"01 <= 34.9769","02 > 32.4247"
"3692","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"2821","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"153","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"6324","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"2791","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"2121","2","4","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"5773","5","1","1","2",0,"02 <= 44.7122","02 > 32.4247"
"451","1","1","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"2749","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"39","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"5866","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"6544","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"1777","2","2","3","3",1,"01 <= 34.9769","01 <= 32.4247"
"3008","3","2","2","1",0,"01 <= 34.9769","02 > 32.4247"
"799","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4984","4","1","2","3",0,"01 <= 34.9769","02 > 32.4247"
"647","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1965","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"2535","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"4679","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"3288","3","1","3","4",1,"02 <= 44.7122","02 > 32.4247"
"4699","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"5797","5","2","1","3",0,"01 <= 34.9769","02 > 32.4247"
"2100","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"1082","1","4","3","3",0,"02 <= 44.7122","02 > 32.4247"
"355","1","4","3","3",1,"02 <= 44.7122","01 <= 32.4247"
"27","1","2","1","4",0,"01 <= 34.9769","02 > 32.4247"
"5800","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"2645","3","1","3","4",0,"02 <= 44.7122","01 <= 32.4247"
"6761","5","2","1","3",0,"01 <= 34.9769","02 > 32.4247"
"3865","3","1","3","4",0,"02 <= 44.7122","02 > 32.4247"
"5645","5","2","1","3",0,"02 <= 44.7122","02 > 32.4247"
"5059","4","4","1","1",0,"02 <= 44.7122","02 > 32.4247"
"4292","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"5169","4","3","1","4",0,"02 <= 44.7122","02 > 32.4247"
"2741","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"4084","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"4298","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"160","1","2","1","4",1,"02 <= 44.7122","01 <= 32.4247"
"5179","4","3","1","4",0,"03 > 44.7122","02 > 32.4247"
"1886","2","1","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"5173","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"1879","2","2","3","3",1,"02 <= 44.7122","01 <= 32.4247"
"4051","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"2538","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"3798","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"4391","4","2","3","2",0,"01 <= 34.9769","01 <= 32.4247"
"1175","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"1445","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"5896","5","2","1","3",0,"03 > 44.7122","01 <= 32.4247"
"5313","4","2","3","2",0,"02 <= 44.7122","01 <= 32.4247"
"661","1","3","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"3741","3","2","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"6172","5","2","1","3",0,"01 <= 34.9769","02 > 32.4247"
"5154","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"2827","3","4","1","2",0,"03 > 44.7122","02 > 32.4247"
"2078","2","1","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"3636","3","1","3","4",0,"03 > 44.7122","01 <= 32.4247"
"3826","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"666","1","1","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"2433","2","4","2","2",0,"03 > 44.7122","01 <= 32.4247"
"6638","5","3","3","1",0,"01 <= 34.9769","02 > 32.4247"
"180","1","3","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"624","1","4","3","3",0,"01 <= 34.9769","01 <= 32.4247"
"173","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"4681","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"1976","2","1","1","1",1,"01 <= 34.9769","01 <= 32.4247"
"6675","5","2","1","3",0,"03 > 44.7122","01 <= 32.4247"
"2359","2","1","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"6138","5","1","1","2",0,"03 > 44.7122","01 <= 32.4247"
"5401","5","2","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"4873","4","2","3","2",0,"03 > 44.7122","01 <= 32.4247"
"5522","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"4198","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"3211","3","2","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"5437","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"2894","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"2074","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"5542","5","1","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"3574","3","1","3","4",0,"01 <= 34.9769","01 <= 32.4247"
"4613","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"1315","1","4","3","3",0,"01 <= 34.9769","01 <= 32.4247"
"1822","2","2","3","3",0,"01 <= 34.9769","01 <= 32.4247"
"2798","3","3","1","3",0,"02 <= 44.7122","02 > 32.4247"
"220","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"556","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"352","1","3","2","2",0,"03 > 44.7122","01 <= 32.4247"
"1592","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"2047","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"3039","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"4321","4","1","2","3",0,"02 <= 44.7122","02 > 32.4247"
"4149","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"4969","4","3","1","4",0,"01 <= 34.9769","01 <= 32.4247"
"4435","4","3","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"1928","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"2622","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"201","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"2524","3","3","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"760","1","4","3","3",0,"03 > 44.7122","01 <= 32.4247"
"3059","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"1865","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"2318","2","2","3","3",0,"02 <= 44.7122","02 > 32.4247"
"6011","5","1","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"1376","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"1129","1","1","2","1",0,"02 <= 44.7122","02 > 32.4247"
"5376","5","2","1","3",0,"03 > 44.7122","01 <= 32.4247"
"2834","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"5244","4","1","2","3",0,"01 <= 34.9769","02 > 32.4247"
"599","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"2051","2","2","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"256","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"5850","5","4","2","4",0,"01 <= 34.9769","01 <= 32.4247"
"6552","5","3","3","1",0,"01 <= 34.9769","01 <= 32.4247"
"5441","5","1","1","2",0,"03 > 44.7122","01 <= 32.4247"
"1207","1","2","1","4",0,"02 <= 44.7122","01 <= 32.4247"
"4329","4","2","3","2",0,"02 <= 44.7122","02 > 32.4247"
"5560","5","4","2","4",0,"01 <= 34.9769","01 <= 32.4247"
"2053","2","2","3","3",0,"01 <= 34.9769","02 > 32.4247"
"644","1","4","3","3",0,"01 <= 34.9769","02 > 32.4247"
"3819","3","3","1","3",0,"01 <= 34.9769","01 <= 32.4247"
"290","1","1","2","1",0,"03 > 44.7122","01 <= 32.4247"
"2611","3","4","1","2",0,"02 <= 44.7122","02 > 32.4247"
"2907","3","4","1","2",0,"02 <= 44.7122","01 <= 32.4247"
"6711","5","1","1","2",0,"01 <= 34.9769","01 <= 32.4247"
"116","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"3391","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"4097","4","3","1","4",0,"01 <= 34.9769","02 > 32.4247"
"2157","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"6625","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"3414","3","1","3","4",0,"02 <= 44.7122","01 <= 32.4247"
"2009","2","4","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"1883","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"3248","3","2","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"1155","1","4","3","3",0,"03 > 44.7122","01 <= 32.4247"
"2071","2","1","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"2681","3","1","3","4",1,"02 <= 44.7122","01 <= 32.4247"
"1923","2","1","1","1",0,"03 > 44.7122","01 <= 32.4247"
"5394","5","1","1","2",0,"03 > 44.7122","01 <= 32.4247"
"1934","2","4","2","2",0,"02 <= 44.7122","01 <= 32.4247"
"4665","4","4","1","1",0,"02 <= 44.7122","01 <= 32.4247"
"1417","1","1","2","1",0,"01 <= 34.9769","01 <= 32.4247"
"2280","2","4","2","2",0,"03 > 44.7122","02 > 32.4247"
"1618","2","1","1","1",0,"01 <= 34.9769","01 <= 32.4247"
"1435","2","2","3","3",0,"03 > 44.7122","01 <= 32.4247"
"3064","3","3","1","3",0,"02 <= 44.7122","01 <= 32.4247"
"1264","1","1","2","1",0,"01 <= 34.9769","02 > 32.4247"
"1060","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"4038","4","3","1","4",0,"02 <= 44.7122","02 > 32.4247"
"3409","3","3","1","3",0,"03 > 44.7122","01 <= 32.4247"
"1940","2","4","2","2",0,"01 <= 34.9769","01 <= 32.4247"
"4733","4","1","2","3",0,"01 <= 34.9769","02 > 32.4247"
"6338","5","3","3","1",0,"02 <= 44.7122","01 <= 32.4247"
"4598","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"6156","5","1","1","2",1,"01 <= 34.9769","01 <= 32.4247"
"2181","2","2","3","3",1,"02 <= 44.7122","01 <= 32.4247"
"4117","4","1","2","3",0,"03 > 44.7122","02 > 32.4247"
"5352","4","4","1","1",0,"03 > 44.7122","02 > 32.4247"
"820","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"1075","1","2","1","4",0,"03 > 44.7122","01 <= 32.4247"
"276","1","4","3","3",0,"02 <= 44.7122","01 <= 32.4247"
"672","1","1","2","1",0,"02 <= 44.7122","01 <= 32.4247"
"5364","4","1","2","3",0,"02 <= 44.7122","01 <= 32.4247"
"1121","1","2","1","4",1,"01 <= 34.9769","01 <= 32.4247"
